,name,active_markets,sales
0,pharmatec,['asap'],0
1,ICEGOD,"['white house', 'torrez', 'empire', 'asap', 'wall street', 'dark0de', 'olympus']",1000
2,danielvitor61,"['torrez', 'asap', 'dark0de']",176
3,QualityFakeIDs,"['white house', 'empire', 'asap']",654
4,mysteryland,"['apollon', 'torrez', 'empire', 'asap', 'invictus', 'world market', 'versus', 'dark0de']",2599
5,Venture,['asap'],0
6,DrugsCenter,['asap'],0
7,TheWizzardNL,['asap'],0
8,bodega,"['vice city', 'torrez', 'empire', 'asap', 'invictus', 'world market', 'versus', 'dark0de']",40
9,superhero,"['empire', 'asap']",0
10,highsierraranch,['asap'],0
11,brucelean,['asap'],0
12,auspride,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'wall street']",7975
13,DutchMagic,"['apollon', 'white house', 'asap', 'icarus']",836
14,XXXXTentacion,"['apollon', 'white house', 'torrez', 'empire', 'silkroad', 'asap', 'icarus', 'pax romana', 'cryptonia', 'versus', 'dark0de']",3131
15,meds4ed,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'wall street', 'versus']",628
16,WhiteDoc,"['empire', 'asap']",349
17,PharmaFR,"['empire', 'asap']",0
18,ExpressService,['asap'],0
19,flexowned,['asap'],0
20,Germanapothekers,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'cryptonia']",0
21,Tesco%20Express,"['white house', 'empire', 'asap']",1755
22,qwoer,['asap'],0
23,Telstra,"['apollon', 'white house', 'torrez', 'empire', 'asap']",0
24,HeinekenExpress,"['white house', 'empire', 'asap', 'monopoly']",0
25,TrapGod,"['white house', 'asap']",90
26,clumsysmurf,"['empire', 'asap']",24
27,TulipNL,"['asap', 'nightmare']",9
28,fastdrugsusa,['asap'],0
29,SteroidWarehouse,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'traderoute', 'wall street', 'versus', 'olympus']",2300
30,Deepufo,['asap'],0
31,mico2811,"['empire', 'asap']",19
32,maligan,"['asap', 'nightmare', 'traderoute', 'olympus']",843
33,LaFarmacia,"['empire', 'asap', 'nightmare', 'wall street']",558
34,mushmedic,['asap'],0
35,ABCandy,['asap'],0
36,Lemmonflavor,"['empire', 'asap', 'icarus', 'wall street']",448
37,doguitdelft,"['empire', 'asap', 'icarus']",0
38,powsub000,"['white house', 'asap']",150
39,TheOxyMen,"['white house', 'empire', 'asap', 'berlusconi', 'nightmare', 'wall street', 'versus']",73
40,procarder2,['asap'],0
41,GreenBritain,['asap'],0
42,TorDrug,"['empire', 'asap']",772
43,emeraldgemini,['asap'],0
44,eyelovelucy,['asap'],0
45,espn,"['torrez', 'empire', 'asap']",0
46,DreamWeaver,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'cannazon', 'olympus']",7629
47,HQproducts,"['empire', 'asap']",659
48,JOYinc,"['white house', 'empire', 'asap', 'berlusconi', 'wall street']",2048
49,apteek,['asap'],0
50,exclusivepharma,"['white house', 'asap']",680
51,santamuerte,['asap'],0
52,BoujieExchange,['asap'],0
53,OzBay,"['white house', 'torrez', 'empire', 'asap']",0
54,martell,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'nightmare', 'traderoute', 'wall street', 'versus']",2559
55,JokerOker,['asap'],0
56,HeartKidnapper,"['apollon', 'asap', 'traderoute']",797
57,HappyShopOrigi,['asap'],0
58,PSteroids,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'nightmare']",813
59,lutonlu,"['white house', 'asap']",51
60,craigman,"['empire', 'asap', 'wall street']",3376
61,ddprovider,"['asap', 'icarus']",4
62,yopi22,['asap'],0
63,PrescoxySquad,"['apollon', 'white house', 'vice city', 'empire', 'darkfox', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'world market', 'versus']",0
64,incognitous,"['empire', 'asap']",0
65,klaasflakko,"['white house', 'asap', 'nightmare', 'wall street']",124
66,maurelius,"['apollon', 'empire', 'asap', 'berlusconi', 'wall street', 'cannazon']",3608
67,falloutb0y,"['white house', 'empire', 'asap']",274
68,Phobiclumbar,['asap'],0
69,projeccao,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'nightmare', 'traderoute', 'wall street', 'cannazon']",3011
70,DumpsTracks,['asap'],0
71,gwolf,"['white house', 'empire', 'asap', 'dark0de', 'olympus']",1482
72,TOMORROWLAND,"['apollon', 'empire', 'asap']",193
73,blackmarket,"['apollon', 'empire', 'asap', 'wall street']",656
74,PharmaWorldUK,['asap'],0
75,Yaybae,['asap'],0
76,PerfectShrooms,"['empire', 'asap']",5121
77,DutchDrugz,"['apollon', 'torrez', 'empire', 'asap', 'berlusconi', 'monopoly', 'cryptonia', 'nightmare', 'traderoute', 'wall street', 'versus', 'cannazon']",0
78,BalkanWeed,"['asap', 'versus']",32
79,cocokingz,['asap'],0
80,topshopuk,"['apollon', 'asap']",43
81,Blauwkat,"['empire', 'asap']",592
82,monsterlabstore,['asap'],0
83,TheHappyDwarf,['asap'],0
84,Zaguble,"['empire', 'asap', 'nightmare']",100
85,unitedpharma,['asap'],0
86,darknetprofits,['asap'],0
87,Captain01,['asap'],0
88,StigmaticMedicine,['asap'],0
89,TripWithScience,"['empire', 'asap']",5744
90,dmsoldiersndd,"['white house', 'torrez', 'asap', 'cartel']",0
91,Luxdrugstore,"['empire', 'asap']",257
92,cmoney345,"['apollon', 'empire', 'asap', 'icarus']",222
93,55555555,['asap'],0
94,PremierLeague,"['white house', 'empire', 'asap']",6052
95,whitebeer,"['apollon', 'asap', 'berlusconi']",3023
96,mollymob,['asap'],0
97,sixandeight,"['apollon', 'empire', 'asap']",1454
98,Tornad0cc,"['empire', 'asap', 'icarus']",949
99,monoko,"['apollon', 'empire', 'asap', 'nightmare', 'wall street', 'versus', 'olympus']",29769
100,bulkversion,"['empire', 'asap']",0
101,Darkangus,"['empire', 'asap']",4525
102,MrGrumpy,['asap'],0
103,dmtking,['asap'],0
104,moominman,"['empire', 'asap', 'olympus']",470
105,Jungleboysofficial,['asap'],0
106,EUCarder,"['white house', 'empire', 'asap', 'berlusconi', 'icarus', 'cryptonia', 'olympus']",5477
107,Paradise420,"['asap', 'icarus']",96
108,realchemsupplier,['asap'],0
109,DrunkDragon,"['empire', 'asap']",23328
110,Pegasus,"['empire', 'asap']",185
111,dutchtopquality,"['empire', 'asap', 'berlusconi', 'cryptonia', 'versus']",0
112,XanaxBlotters,['asap'],0
113,sweetsNtreats,"['asap', 'icarus']",0
114,OnePiece,"['asap', 'traderoute']",23
115,anonyps,"['empire', 'asap']",6705
116,Hilfiger,['asap'],0
117,DomesticGoddess,['asap'],0
118,DutchDrugOrder,"['apollon', 'empire', 'asap', 'berlusconi', 'cryptonia', 'nightmare']",825
119,Pygmalion,"['apollon', 'white house', 'empire', 'asap', 'cryptonia']",3474
120,8drugsafe,"['asap', 'monopoly']",0
121,SocialMedia,"['empire', 'asap']",3890
122,GQDS24,"['white house', 'asap']",10
123,superwave,['asap'],0
124,DutchHope,"['empire', 'asap', 'dark0de']",72
125,ash_williams,"['apollon', 'white house', 'empire', 'asap', 'berlusconi', 'monopoly', 'wall street']",694
126,TheWizard,"['empire', 'asap', 'berlusconi', 'traderoute', 'wall street']",1883
127,NightlifeKings,"['white house', 'empire', 'asap', 'berlusconi', 'nightmare']",593
128,fraudbuddy,"['asap', 'icarus']",414
129,DopamineDealer,['asap'],0
130,MASTERSS5,"['empire', 'asap']",116
131,kim0ra,"['apollon', 'asap']",284
132,pharmamed,"['white house', 'empire', 'asap', 'cryptonia', 'nightmare', 'wall street', 'versus']",364
133,MrAcid,"['apollon', 'empire', 'asap', 'cryptonia', 'nightmare']",604
134,dutchplugnl,['asap'],0
135,vinicius12,"['asap', 'wall street']",18
136,DrWhit3,"['apollon', 'white house', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'traderoute', 'wall street', 'versus']",6642
137,TboyGang,['asap'],0
138,EmpireShop,"['white house', 'empire', 'asap', 'nightmare', 'versus']",1074
139,TheStealthTeam,"['asap', 'berlusconi', 'nightmare']",0
140,partycrew,['asap'],0
141,K1to,['asap'],0
142,actioneu,"['empire', 'asap']",194
143,onestopshop,"['asap', 'cartel', 'world market', 'tor2door']",0
144,TopShellNL,['asap'],0
145,ezinpharma,"['apollon', 'white house', 'asap', 'cryptonia', 'nightmare', 'wall street']",359
146,RXChemist,['asap'],0
147,SuperSuperGrade,"['apollon', 'white house', 'empire', 'asap', 'nightmare', 'wall street']",294
148,oxytop,"['white house', 'empire', 'asap']",739
149,proyectoequis,['asap'],0
150,authenticity,['asap'],0
151,careersclap,"['apollon', 'asap', 'berlusconi', 'nightmare', 'wall street', 'versus']",1238
152,Narco24,['asap'],0
153,Pushar,"['apollon', 'white house', 'empire', 'asap', 'nightmare', 'wall street']",950
154,Kaasschaaf,['asap'],0
155,rugbykonix,"['empire', 'asap']",2011
156,HighFly,"['torrez', 'darkfox', 'asap', 'world market', 'wall street', 'olympus']",0
157,themushrooman,"['empire', 'asap']",0
158,Donalddrugs,"['torrez', 'asap', 'icarus', 'dark0de']",456
159,PostNL,"['apollon', 'white house', 'torrez', 'empire', 'asap', 'berlusconi', 'monopoly', 'icarus', 'cryptonia', 'versus']",1663
160,Wardog_GmbH,"['empire', 'asap']",461
161,ADHD,"['white house', 'asap']",43
162,SpacePope,['asap'],0
163,ElizabethQueen2,['asap'],0
164,boomshankar,"['white house', 'empire', 'asap', 'berlusconi', 'icarus', 'wall street']",949
165,sweatless,['asap'],0
166,h3exx,['asap'],0
167,topkittzz,['asap'],0
168,GreenService,"['empire', 'asap', 'nightmare']",2144
169,BigPenis,"['apollon', 'empire', 'asap', 'berlusconi', 'cryptonia', 'nightmare', 'wall street', 'versus', 'olympus']",1015
170,LegitCrew,"['empire', 'asap']",0
171,NamasteLSD,"['apollon', 'empire', 'asap', 'cryptonia', 'nightmare']",2657
